Date,1,2,3,4,5,6,7,8,9,10,11,12
1999-02-01,AT&T cards Wal-Mart,U.S. stocks in volatile mix,Wall Street rally resumes,Lackluster climb for Dow,Wall St. trims down gains,Early gains on Wall Street,,,,,,
1999-02-04,Retail sales up in January,,,,,,,,,,,
1999-02-09,Retailer to shut 134 stores,,,,,,,,,,,
1999-02-16,Wal-Mart beats Street,Techs rates to drive stocks,Hesitation on Wall Street,Mixed picture on Wall Street,Stock rally fades,Show of strength in stocks,Wall Street charges ahead,,,,,
1999-03-04,Retailers post solid month,CNNfn market movers,CNNfn after the bell,,,,,,,,,
1999-03-05,Wall St. eyes jobs report,Trade deficit seen rising,Dow breaks 9700 mark,Dow aiming for a record,Dow eyes new highs,Stocks and jobs for all,Wall St. feasts on jobs data,Funds eye battle lines,,,,
1999-03-10,Sears plans stock buyback,,,,,,,,,,,
1999-03-11,Praise for tech sector,,,,,,,,,,,
1999-03-23,Oil stocks: Time to invest?,Family Dollar: less is more,,,,,,,,,,
1999-03-26,Investing with a conscience,,,,,,,,,,,
1999-04-05,Amazon Wal-Mart settle,Fortune shakes up 500 list,,,,,,,,,,
1999-04-08,Retail sales gains continue,,,,,,,,,,,
1999-04-09,Buying stock for a change,,,,,,,,,,,
1999-04-16,Europe shops till it drops,U.K. retailers in $10B deal,Magellan assets rise 8.6%,,,,,,,,,
1999-04-19,FTSE 100 hits new peak close,,,,,,,,,,,
1999-04-22,FTSE bulls rampage,,,,,,,,,,,
1999-04-26,Denver sports teams sold,,,,,,,,,,,
1999-04-27,Toys 'R' Us ... online,,,,,,,,,,,
1999-04-29,London snaps streak,Bourses extend slide,Tech exodus at open?,,,,,,,,,
1999-05-03,Stock picks by the pros,The Dow: then and now,,,,,,,,,,
1999-05-06,CNNfn market movers,Same-store sales surge,,,,,,,,,,
1999-05-07,Wall St. to study economics,,,,,,,,,,,
1999-05-10,CNNfn market movers,,,,,,,,,,,
1999-05-11,Wal-Mart 1Q net up 39%,Stocks eye mergers results,Stocks overcome bond slump,Bonds sap Wall St.'s strength,Techs triumph on Wall St.,Blue chips ride the bull,Wall St. in a bullish mood,,,,,
1999-05-13,Sears to e-tail appliances,IBM surges on rosy outlook,,,,,,,,,,
1999-05-18,Penney plans new strategy,,,,,,,,,,,
1999-05-20,Stock picks by the pros,,,,,,,,,,,
1999-05-25,Toys 'R' Us in settlement,,,,,,,,,,,
1999-05-27,Stock picks by the pros,,,,,,,,,,,
1999-06-03,Retailers post strong sales,Stock picks by the pros,Wall St. waits for jobs data,Wall St. mired in expectation,Dow stalls techs drift,Stocks push edgily higher,,,,,,
1999-06-04,Wall St. on jobs data watch,,,,,,,,,,,
1999-06-14,Wal-Mart targets Asda,Wal-Mart spooks U.K. market,In search of cool companies,Wall Street to mull deals,Bourses dip amid slew of deals,Monday merger roundup,,,,,,
1999-06-15,Stocks on Net watch,Bourses post negative start,,,,,,,,,,
1999-06-16,The small-cap queen,,,,,,,,,,,
1999-06-17,Bourses hang on for Fed,Bourses end mostly higher,Small caps bounce back,Bourses get Ifo lift,,,,,,,,
1999-06-18,Bourses ratchet higher,London up but off highs,Bourses nudge new highs,,,,,,,,,
1999-06-20,Retailers rush to the Web,Are you ready to rumble?,,,,,,,,,,
1999-06-21,Federated grows .com ops,Stock picks by the pros,Bourses touch record highs,,,,,,,,,
1999-06-24,Dive sticks' recalled,,,,,,,,,,,
1999-06-28,Stock picks by the pros,Bourses mixed due to rates,Bourses lack direction,,,,,,,,,
1999-06-29,Stock picks by the pros,,,,,,,,,,,
1999-06-30,Wall St. on Fed watch,,,,,,,,,,,
1999-07-01,Wal-Mart expands e-library,Techs take new peak,CNNfn market movers,,,,,,,,,
1999-07-08,Retail sales remain strong,Getting a bulk rate online,Child seats cups recalled,,,,,,,,,
1999-07-13,Amazon expands again,,,,,,,,,,,
1999-07-14,Tommy Wal-Mart settle,,,,,,,,,,,
1999-07-15,Magellan changes top 10,,,,,,,,,,,
1999-07-20,Battle of the $100B funds,,,,,,,,,,,
1999-07-21,Sainsbury sets expansion,Toys 'R' Us buys Imaginarium,,,,,,,,,,
1999-07-22,Sears on target in 2Q,,,,,,,,,,,
1999-07-23,Micro caps' secret success,,,,,,,,,,,
1999-07-26,Wall St. watching earnings,Bourses pare early gains,Sturm scores in sports fight,,,,,,,,,
1999-07-27,Sturm gets Denver teams,,,,,,,,,,,
1999-07-30,Tommy sews up profits,,,,,,,,,,,
1999-08-02,Stock picks by the pros,,,,,,,,,,,
1999-08-03,Bonds slump dollar jumps,Bearish day for bonds,,,,,,,,,,
1999-08-04,Buyback buzz boosts bond,,,,,,,,,,,
1999-08-05,Retail sales still strong,,,,,,,,,,,
1999-08-09,Bourses hold on to gains,Bourses unfazed by Russia,Europe unfazed by Russia,,,,,,,,,
1999-08-10,Wal-Mart beats 2Q forecasts,Wall St. watching bonds,Stocks take more hits,Wall Street on edge,Wall Street beats retreat,Stocks under pressure,Wall Street loses ground,,,,,
1999-08-16,Bourses lose steam,,,,,,,,,,,
1999-08-18,Wall St. eyes tech shares,,,,,,,,,,,
1999-08-19,Markets remain on edge,Techs blue chips suffer,Wall St. relaxes a little,Stocks hurt by trade deficit,U.S. stocks take a hit,Wall Street heads into red,,,,,,
1999-08-23,Basement seeks protection,,,,,,,,,,,
1999-08-25,Rite Aid discussing a deal,,,,,,,,,,,
1999-08-26,Toys 'R' Us chief out,,,,,,,,,,,
1999-08-27,Stocks eye exec ousters,,,,,,,,,,,
1999-08-30,Mergers in the aisles?,carrefour,Europe ends mostly lower,Wall St. awaits more data,Bourses weak despite deals,Europe down at midday,,,,,,
1999-08-31,Rate woes rile bourses,,,,,,,,,,,
1999-09-02,Sears Penney sales limp,Rate anxiety drags techs,Day of losses for stocks,Stocks suffer on rate fears,Severe declines for Dow,Selling pounds stocks,Steep sell-off on Wall St.,Ahold 2Q profit surges,,,,
1999-09-03,Amazon executive retires,Wall St. waits for jobs data,,,,,,,,,,
1999-09-09,CNNfn market movers,,,,,,,,,,,
1999-09-15,Heinz Bestfoods talks fail?,,,,,,,,,,,
1999-09-17,Markets may get bounce,,,,,,,,,,,
1999-09-20,Wal-Mart in PC fixing test,,,,,,,,,,,
1999-09-21,Tesco speeds up growth,,,,,,,,,,,
1999-09-22,Judds sing for Kmart,,,,,,,,,,,
1999-09-27,Warm weather melts M&S,,,,,,,,,,,
